Standard ID,Standard Description,Skill Name,Skill Description,Source,Relationship
6.EE.A.2,"Write, read, and evaluate expressions in which letters stand for numbers.",Order of operations with fractions and exponents (numerical expressions),"Apply the order of operations, including fractions and exponents, to evaluate numerical expressions without variables.",Khan Academy Content - Order of operations with fractions and exponents,Exact match
6.EE.A.2,"Write, read, and evaluate expressions in which letters stand for numbers.",Evaluate variable expressions with whole numbers,Substitute whole number values for variables and calculate the expression's value.,"IXL Content - Evaluate variable expressions with whole numbers, Khan Academy Content - Evaluating expressions with one variable","Specific skill, covered by Khan Academy's broader skill"
6.EE.A.2,"Write, read, and evaluate expressions in which letters stand for numbers.",Evaluate multi-variable expressions (whole numbers),Substitute given whole number values for multiple variables and calculate the expression's value.,"IXL Content - Evaluate multi-variable expressions, Khan Academy Content - Evaluating expressions with multiple variables","Specific skill, covered by Khan Academy's broader skill"
6.EE.A.2,"Write, read, and evaluate expressions in which letters stand for numbers.","Evaluate variable expressions with decimals, fractions, and mixed numbers","Substitute decimal, fractional, or mixed number values for variables and calculate the expression's value.","IXL Content - Evaluate variable expressions with decimals, fractions, and mixed numbers, Khan Academy Content - Evaluating expressions with multiple variables: fractions & decimals","Specific skill, covered by Khan Academy's broader skill"
6.EE.A.2,"Write, read, and evaluate expressions in which letters stand for numbers.",Variable expressions with exponents (evaluation),Evaluate algebraic expressions that include variables and whole-number exponents.,Khan Academy Content - Variable expressions with exponents,Exact match
6.EE.A.2,"Write, read, and evaluate expressions in which letters stand for numbers.",Evaluate variable expressions: word problems,Substitute values into expressions derived from real-world problems and calculate results.,"IXL Content - Evaluate variable expressions: word problems, Khan Academy Content - Evaluating expressions with variables word problems","Specific skill, covered by Khan Academy's broader skill"
6.EE.A.2,"Write, read, and evaluate expressions in which letters stand for numbers.",Identify terms and coefficients,Identify and name the terms and coefficients in an algebraic expression.,"IXL Content - Identify terms and coefficients, Khan Academy Content - Parts of algebraic expressions","Specific skill, covered by Khan Academy's broader skill"
6.EE.A.2,"Write, read, and evaluate expressions in which letters stand for numbers.",Sort factors of variable expressions,Identify and categorize factors within variable expressions.,"IXL Content - Sort factors of variable expressions, Khan Academy Content - Parts of algebraic expressions","Specific skill, covered by Khan Academy's broader skill"
6.EE.A.2,"Write, read, and evaluate expressions in which letters stand for numbers.",Expression value intuition,Develop an intuitive understanding of how changes in variable values affect the value of an expression.,Khan Academy Content - Expression value intuition,Exact match
6.EE.A.2.a,Write expressions that record operations with numbers and with letters standing for numbers.,Write variable expressions: one operation,Translate simple verbal phrases into algebraic expressions involving one operation.,"IXL Content - Write variable expressions: one operation, Khan Academy Content - Writing basic expressions with variables","Specific skill, covered by Khan Academy's broader skill"
6.EE.A.2.a,Write expressions that record operations with numbers and with letters standing for numbers.,Write variable expressions: two operations,Translate verbal phrases into algebraic expressions involving two operations.,"IXL Content - Write variable expressions: two operations, Khan Academy Content - Writing expressions with variables","Specific skill, covered by Khan Academy's broader skill"
6.EE.A.2.a,Write expressions that record operations with numbers and with letters standing for numbers.,Writing basic expressions word problems,Create simple algebraic expressions from word problems.,Khan Academy Content - Writing basic expressions word problems,Exact match
6.EE.A.2.a,Write expressions that record operations with numbers and with letters standing for numbers.,Write variable expressions: word problems,Formulate algebraic expressions from real-world word problems.,"IXL Content - Write variable expressions: word problems, Khan Academy Content - Writing basic expressions word problems","Specific skill, covered by Khan Academy's broader skill"
6.EE.A.2.b,"Identify parts of an expression using mathematical terms (sum, term, product, factor, quotient, coefficient); view one or more parts of an expression as a single entity.",Identify terms and coefficients,Identify and name the terms and coefficients in an algebraic expression.,"IXL Content - Identify terms and coefficients, Khan Academy Content - Parts of algebraic expressions","Specific skill, covered by Khan Academy's broader skill"
6.EE.A.2.b,"Identify parts of an expression using mathematical terms (sum, term, product, factor, quotient, coefficient); view one or more parts of an expression as a single entity.",Sort factors of variable expressions,Identify and categorize factors within variable expressions.,"IXL Content - Sort factors of variable expressions, Khan Academy Content - Parts of algebraic expressions","Specific skill, covered by Khan Academy's broader skill"
6.EE.A.2.b,"Identify parts of an expression using mathematical terms (sum, term, product, factor, quotient, coefficient); view one or more parts of an expression as a single entity.",Identify constants in algebraic expressions,Identify constant terms within algebraic expressions.,Derived from Khan Academy Content - Parts of algebraic expressions,Breakdown of a broader Khan Academy skill
6.EE.A.2.b,"Identify parts of an expression using mathematical terms (sum, term, product, factor, quotient, coefficient); view one or more parts of an expression as a single entity.","Identify sums, products, quotients, and differences in expressions","Identify the main operation (sum, product, quotient, difference) that defines an expression's structure.",Derived from Khan Academy Content - Parts of algebraic expressions,Breakdown of a broader Khan Academy skill
6.EE.A.2.c,"Evaluate expressions at specific values of their variables. Include expressions that arise from formulas used in real-world problems. Perform arithmetic operations, including those involving whole-number exponents, in the conventional order when there are no parentheses to specify a particular order (Order of Operations).",Order of operations (numerical expressions),Apply the standard order of operations (PEMDAS/BODMAS) to evaluate numerical expressions without variables.,Khan Academy Content - Order of operations,Exact match
6.EE.A.2.c,"Evaluate expressions at specific values of their variables. Include expressions that arise from formulas used in real-world problems. Perform arithmetic operations, including those involving whole-number exponents, in the conventional order when there are no parentheses to specify a particular order (Order of Operations).",Order of operations with fractions and exponents (numerical expressions),"Apply the order of operations, including fractions and exponents, to evaluate numerical expressions without variables.",Khan Academy Content - Order of operations with fractions and exponents,Exact match
6.EE.A.2.c,"Evaluate expressions at specific values of their variables. Include expressions that arise from formulas used in real-world problems. Perform arithmetic operations, including those involving whole-number exponents, in the conventional order when there are no parentheses to specify a particular order (Order of Operations).",Evaluate variable expressions with whole numbers (one variable),Substitute whole number values for a single variable and calculate the expression's value.,"IXL Content - Evaluate variable expressions with whole numbers, Khan Academy Content - Evaluating expressions with one variable","Specific skill, covered by Khan Academy's broader skill"
6.EE.A.2.c,"Evaluate expressions at specific values of their variables. Include expressions that arise from formulas used in real-world problems. Perform arithmetic operations, including those involving whole-number exponents, in the conventional order when there are no parentheses to specify a particular order (Order of Operations).",Evaluate multi-variable expressions (whole numbers),Substitute given whole number values for multiple variables and calculate the expression's value.,"IXL Content - Evaluate multi-variable expressions, Khan Academy Content - Evaluating expressions with multiple variables","Specific skill, covered by Khan Academy's broader skill"
6.EE.A.2.c,"Evaluate expressions at specific values of their variables. Include expressions that arise from formulas used in real-world problems. Perform arithmetic operations, including those involving whole-number exponents, in the conventional order when there are no parentheses to specify a particular order (Order of Operations).",Evaluate variable expressions with decimals (one variable or multiple variables),Substitute decimal values for variables and calculate the expression's value.,"Derived from IXL Content - Evaluate variable expressions with decimals, fractions, and mixed numbers, Khan Academy Content - Evaluating expressions with multiple variables: fractions & decimals",Breakdown of a broader IXL/Khan Academy skill
6.EE.A.2.c,"Evaluate expressions at specific values of their variables. Include expressions that arise from formulas used in real-world problems. Perform arithmetic operations, including those involving whole-number exponents, in the conventional order when there are no parentheses to specify a particular order (Order of Operations).",Evaluate variable expressions with fractions (one variable or multiple variables),Substitute fractional values for variables and calculate the expression's value.,"Derived from IXL Content - Evaluate variable expressions with decimals, fractions, and mixed numbers, Khan Academy Content - Evaluating expressions with multiple variables: fractions & decimals",Breakdown of a broader IXL/Khan Academy skill
6.EE.A.2.c,"Evaluate expressions at specific values of their variables. Include expressions that arise from formulas used in real-world problems. Perform arithmetic operations, including those involving whole-number exponents, in the conventional order when there are no parentheses to specify a particular order (Order of Operations).",Evaluate variable expressions with mixed numbers (one variable or multiple variables),Substitute mixed number values for variables and calculate the expression's value.,"Derived from IXL Content - Evaluate variable expressions with decimals, fractions, and mixed numbers, Khan Academy Content - Evaluating expressions with multiple variables: fractions & decimals",Breakdown of a broader IXL/Khan Academy skill
6.EE.A.2.c,"Evaluate expressions at specific values of their variables. Include expressions that arise from formulas used in real-world problems. Perform arithmetic operations, including those involving whole-number exponents, in the conventional order when there are no parentheses to specify a particular order (Order of Operations).",Variable expressions with exponents (evaluation),Evaluate algebraic expressions that include variables and whole-number exponents.,Khan Academy Content - Variable expressions with exponents,Exact match
6.EE.A.2.c,"Evaluate expressions at specific values of their variables. Include expressions that arise from formulas used in real-world problems. Perform arithmetic operations, including those involving whole-number exponents, in the conventional order when there are no parentheses to specify a particular order (Order of Operations).",Evaluate variable expressions: word problems,Substitute values into expressions derived from real-world problems and calculate results.,"IXL Content - Evaluate variable expressions: word problems, Khan Academy Content - Evaluating expressions with variables word problems","Specific skill, covered by Khan Academy's broader skill"
6.EE.A.2.c,"Evaluate expressions at specific values of their variables. Include expressions that arise from formulas used in real-world problems. Perform arithmetic operations, including those involving whole-number exponents, in the conventional order when there are no parentheses to specify a particular order (Order of Operations).",Expression value intuition,Develop an intuitive understanding of how changes in variable values affect the value of an expression.,Khan Academy Content - Expression value intuition,Exact match
6.EE.A.3,Apply the properties of operations to generate equivalent expressions.,Properties of addition,"Apply commutative, associative, and identity properties of addition.","IXL Content - Properties of addition, Khan Academy Content - Commutative, associative, and identity properties (addition)","IXL Content - Exact match, Khan Academy Content - Subset"
6.EE.A.3,Apply the properties of operations to generate equivalent expressions.,Properties of multiplication,"Apply commutative, associative, identity, and zero properties of multiplication.","IXL Content - Properties of multiplication, Khan Academy Content - Commutative, associative, and identity properties (multiplication)","IXL Content - Exact match, Khan Academy Content - Subset"
6.EE.A.3,Apply the properties of operations to generate equivalent expressions.,Multiply using the distributive property: area models,Use area models to demonstrate and apply the distributive property with multiplication.,IXL Content - Multiply using the distributive property: area models,Exact match
6.EE.A.3,Apply the properties of operations to generate equivalent expressions.,Distributive property with variables,Apply the distributive property to expressions involving variables.,"Khan Academy Content - Distributive property with variables, IXL Content - Multiply using the distributive property","Khan Academy Content - Exact match, IXL Content - Subset"
6.EE.A.3,Apply the properties of operations to generate equivalent expressions.,Combine like terms,Identify and combine like terms in algebraic expressions to simplify them.,"IXL Content - Add and subtract like terms, Khan Academy Content - Combining like terms","IXL Content - Exact match, Khan Academy Content - Exact match"
6.EE.A.3,Apply the properties of operations to generate equivalent expressions.,Factor numerical expressions using the distributive property,Rewrite numerical expressions by factoring out a common factor using the distributive property.,"IXL Content - Factor numerical expressions using the distributive property, Khan Academy Content - Factor with the distributive property (no variables)","IXL Content - Exact match, Khan Academy Content - Exact match"
6.EE.A.3,Apply the properties of operations to generate equivalent expressions.,Factor variable expressions: area models,Use area models to factor variable expressions using the distributive property.,IXL Content - Factor variable expressions: area models,Exact match
6.EE.A.3,Apply the properties of operations to generate equivalent expressions.,Factor variable expressions using the distributive property,Factor algebraic expressions by identifying and extracting common variable factors.,"IXL Content - Factor variable expressions using the distributive property, Khan Academy Content - Factor with distributive property (variables)","IXL Content - Exact match, Khan Academy Content - Exact match"
6.EE.A.3,Apply the properties of operations to generate equivalent expressions.,Create equivalent expressions by factoring,Generate equivalent expressions by factoring out common terms using the distributive property.,Khan Academy Content - Create equivalent expressions by factoring,Exact match
6.EE.A.3,Apply the properties of operations to generate equivalent expressions.,Write equivalent expressions using properties,Create equivalent expressions by applying various properties of operations.,"IXL Content - Write equivalent expressions using properties, Khan Academy Content - Equivalent expressions","IXL Content - Exact match, Khan Academy Content - Subset"
6.EE.A.4,"Identify when two expressions are equivalent (i.e., when the two expressions name the same number regardless of which value is substituted into them).",Identify equivalent expressions using strip models,Use visual strip models to determine if two expressions are equivalent.,IXL Content - Identify equivalent expressions using strip models,Exact match
6.EE.A.4,"Identify when two expressions are equivalent (i.e., when the two expressions name the same number regardless of which value is substituted into them).",Identify equivalent expressions I,Recognize and select expressions that are equivalent to a given expression.,IXL Content - Identify equivalent expressions I,Exact match
6.EE.A.4,"Identify when two expressions are equivalent (i.e., when the two expressions name the same number regardless of which value is substituted into them).",Identify equivalent expressions II,"Recognize and select expressions that are equivalent to a given expression, including more complex cases.",IXL Content - Identify equivalent expressions II,Exact match
6.EE.A.4,"Identify when two expressions are equivalent (i.e., when the two expressions name the same number regardless of which value is substituted into them).",Equivalent expressions,Identify and generate expressions that have the same value for all possible variable substitutions.,Khan Academy Content - Equivalent expressions,Exact match
6.EE.A.4,"Identify when two expressions are equivalent (i.e., when the two expressions name the same number regardless of which value is substituted into them).",Distributive property with variables,Apply the distributive property to expressions involving variables to generate equivalent forms.,Khan Academy Content - Distributive property with variables,Exact match
6.EE.A.4,"Identify when two expressions are equivalent (i.e., when the two expressions name the same number regardless of which value is substituted into them).",Combining like terms,Simplify expressions by combining terms that have the same variable and exponent to generate equivalent forms.,Khan Academy Content - Combining like terms,Exact match
6.EE.A.4,"Identify when two expressions are equivalent (i.e., when the two expressions name the same number regardless of which value is substituted into them).",Factor with distributive property (variables),Apply the distributive property to factor out common factors from variable expressions to generate equivalent forms.,Khan Academy Content - Factor with distributive property (variables),Exact match
6.EE.A.4,"Identify when two expressions are equivalent (i.e., when the two expressions name the same number regardless of which value is substituted into them).",Create equivalent expressions by factoring,Generate equivalent expressions by factoring out common terms using the distributive property.,Khan Academy Content - Create equivalent expressions by factoring,Exact match
6.EE.B.5,"Understand solving an equation or inequality as a process of answering a question: which values from a specified set, if any, make the equation or inequality true? Use substitution to determine whether a given number in a specified set makes an equation or inequality true.",Does x satisfy an equation?,Determine if a given value of 'x' makes an equation true by substitution.,"IXL Content - Does x satisfy an equation?, Khan Academy Content - Testing solutions to equations","IXL Content - Exact match, Khan Academy Content - Exact match"
6.EE.B.5,"Understand solving an equation or inequality as a process of answering a question: which values from a specified set, if any, make the equation or inequality true? Use substitution to determine whether a given number in a specified set makes an equation or inequality true.",Which x satisfies an equation?,Identify which value from a set makes an equation true.,IXL Content - Which x satisfies an equation?,Exact match
6.EE.B.5,"Understand solving an equation or inequality as a process of answering a question: which values from a specified set, if any, make the equation or inequality true? Use substitution to determine whether a given number in a specified set makes an equation or inequality true.",Solutions to inequalities,Determine if a given value satisfies an inequality by substitution.,"IXL Content - Solutions to inequalities, Khan Academy Content - Testing solutions to inequalities (basic)","IXL Content - Exact match, Khan Academy Content - Exact match"
6.EE.B.5,"Understand solving an equation or inequality as a process of answering a question: which values from a specified set, if any, make the equation or inequality true? Use substitution to determine whether a given number in a specified set makes an equation or inequality true.",Identify equations from visual models (tape diagrams),Write an equation that represents a given tape diagram.,Khan Academy Content - Identify equations from visual models (tape diagrams),Exact match
6.EE.B.5,"Understand solving an equation or inequality as a process of answering a question: which values from a specified set, if any, make the equation or inequality true? Use substitution to determine whether a given number in a specified set makes an equation or inequality true.",Identify equations from visual models (hanger diagrams),Write an equation that represents a given hanger diagram.,Khan Academy Content - Identify equations from visual models (hanger diagrams),Exact match
6.EE.B.5,"Understand solving an equation or inequality as a process of answering a question: which values from a specified set, if any, make the equation or inequality true? Use substitution to determine whether a given number in a specified set makes an equation or inequality true.",Model and solve equations using diagrams,"Use visual diagrams (e.g., tape diagrams, hanger diagrams) to model and solve equations.","IXL Content - Model and solve equations using diagrams, Khan Academy Content - Solve equations from visual models","IXL Content - Exact match, Khan Academy Content - Exact match"
6.EE.B.6,"Use variables to represent numbers and write expressions when solving a real-world or mathematical problem; understand that a variable can represent an unknown number, or, depending on the purpose at hand, any number in a specified set.",Write an equation from words,Translate verbal descriptions into one-step algebraic equations.,IXL Content - Write an equation from words,Exact match
6.EE.B.6,"Use variables to represent numbers and write expressions when solving a real-world or mathematical problem; understand that a variable can represent an unknown number, or, depending on the purpose at hand, any number in a specified set.",Write a one-step equation: word problems,Formulate one-step algebraic equations to represent real-world scenarios.,IXL Content - Write a one-step equation: word problems,Exact match
6.EE.B.6,"Use variables to represent numbers and write expressions when solving a real-world or mathematical problem; understand that a variable can represent an unknown number, or, depending on the purpose at hand, any number in a specified set.",Model with one-step equations,Create a one-step equation to represent a given real-world or mathematical problem.,Khan Academy Content - Model with one-step equations,Exact match
6.EE.B.6,"Use variables to represent numbers and write expressions when solving a real-world or mathematical problem; understand that a variable can represent an unknown number, or, depending on the purpose at hand, any number in a specified set.",Translate one-step equations and solve,Convert verbal descriptions into one-step equations and then solve them.,Khan Academy Content - Translate one-step equations and solve,Exact match
6.EE.B.6,"Use variables to represent numbers and write expressions when solving a real-world or mathematical problem; understand that a variable can represent an unknown number, or, depending on the purpose at hand, any number in a specified set.",Model with one-step equations and solve,Formulate and solve one-step equations based on real-world situations.,Khan Academy Content - Model with one-step equations and solve,Exact match
6.EE.B.6,"Use variables to represent numbers and write expressions when solving a real-world or mathematical problem; understand that a variable can represent an unknown number, or, depending on the purpose at hand, any number in a specified set.",Identify expressions and equations,Distinguish between expressions and equations.,IXL Content - Identify expressions and equations,Exact match
6.EE.B.7,"Solve real-world and mathematical problems by writing and solving equations of the form *x + p = q* and *px = q* for cases in which *p, q* and *x* are all nonnegative rational numbers.",Identify equations from visual models (tape diagrams),Write an equation that represents a given tape diagram.,Khan Academy Content - Identify equations from visual models (tape diagrams),Exact match
6.EE.B.7,"Solve real-world and mathematical problems by writing and solving equations of the form *x + p = q* and *px = q* for cases in which *p, q* and *x* are all nonnegative rational numbers.",Identify equations from visual models (hanger diagrams),Write an equation that represents a given hanger diagram.,Khan Academy Content - Identify equations from visual models (hanger diagrams),Exact match
6.EE.B.7,"Solve real-world and mathematical problems by writing and solving equations of the form *x + p = q* and *px = q* for cases in which *p, q* and *x* are all nonnegative rational numbers.",Model and solve equations using algebra tiles,Use algebra tiles to visually represent and solve one-step equations.,IXL Content - Model and solve equations using algebra tiles,Exact match
6.EE.B.7,"Solve real-world and mathematical problems by writing and solving equations of the form *x + p = q* and *px = q* for cases in which *p, q* and *x* are all nonnegative rational numbers.",Model and solve equations using diagrams,"Use visual diagrams (e.g., tape diagrams, hanger diagrams) to model and solve equations.",IXL Content - Model and solve equations using diagrams,Exact match
6.EE.B.7,"Solve real-world and mathematical problems by writing and solving equations of the form *x + p = q* and *px = q* for cases in which *p, q* and *x* are all nonnegative rational numbers.",Solve equations from visual models,Find the unknown value in an equation represented by a visual model.,Khan Academy Content - Solve equations from visual models,Exact match
6.EE.B.7,"Solve real-world and mathematical problems by writing and solving equations of the form *x + p = q* and *px = q* for cases in which *p, q* and *x* are all nonnegative rational numbers.",Write and solve equations that represent diagrams,Formulate and solve equations based on given visual diagrams.,IXL Content - Write and solve equations that represent diagrams,Exact match
6.EE.B.7,"Solve real-world and mathematical problems by writing and solving equations of the form *x + p = q* and *px = q* for cases in which *p, q* and *x* are all nonnegative rational numbers.",One-step addition & subtraction equations,Solve one-step equations involving addition and subtraction with whole numbers.,Khan Academy Content - One-step addition & subtraction equations,Exact match
6.EE.B.7,"Solve real-world and mathematical problems by writing and solving equations of the form *x + p = q* and *px = q* for cases in which *p, q* and *x* are all nonnegative rational numbers.",One-step multiplication & division equations,Solve one-step equations involving multiplication and division with whole numbers.,Khan Academy Content - One-step multiplication & division equations,Exact match
6.EE.B.7,"Solve real-world and mathematical problems by writing and solving equations of the form *x + p = q* and *px = q* for cases in which *p, q* and *x* are all nonnegative rational numbers.",One-step addition & subtraction equations: fractions & decimals,Solve one-step equations involving addition and subtraction with fractions and decimals.,Khan Academy Content - One-step addition & subtraction equations: fractions & decimals,Exact match
6.EE.B.7,"Solve real-world and mathematical problems by writing and solving equations of the form *x + p = q* and *px = q* for cases in which *p, q* and *x* are all nonnegative rational numbers.",One-step multiplication & division equations: fractions & decimals,Solve one-step equations involving multiplication and division with fractions and decimals.,Khan Academy Content - One-step multiplication & division equations: fractions & decimals,Exact match
6.EE.B.7,"Solve real-world and mathematical problems by writing and solving equations of the form *x + p = q* and *px = q* for cases in which *p, q* and *x* are all nonnegative rational numbers.",Solve one-step equations with decimals and fractions,Solve various one-step equations involving decimals and fractions.,IXL Content - Solve one-step equations with decimals and fractions,Exact match
6.EE.B.7,"Solve real-world and mathematical problems by writing and solving equations of the form *x + p = q* and *px = q* for cases in which *p, q* and *x* are all nonnegative rational numbers.",Find the mistake in one-step equations,Identify errors in the process of solving one-step equations.,Khan Academy Content - Find the mistake in one-step equations,Exact match
6.EE.B.7,"Solve real-world and mathematical problems by writing and solving equations of the form *x + p = q* and *px = q* for cases in which *p, q* and *x* are all nonnegative rational numbers.",Translate one-step equations and solve,Convert verbal descriptions into one-step equations and then solve them.,Khan Academy Content - Translate one-step equations and solve,Exact match
6.EE.B.7,"Solve real-world and mathematical problems by writing and solving equations of the form *x + p = q* and *px = q* for cases in which *p, q* and *x* are all nonnegative rational numbers.",Model with one-step equations and solve,Formulate and solve one-step equations based on real-world situations.,Khan Academy Content - Model with one-step equations and solve,Exact match
6.EE.B.7,"Solve real-world and mathematical problems by writing and solving equations of the form *x + p = q* and *px = q* for cases in which *p, q* and *x* are all nonnegative rational numbers.",Solve one-step addition and subtraction equations: word problems,Solve real-world problems by writing and solving one-step addition or subtraction equations.,IXL Content - Solve one-step addition and subtraction equations: word problems,Exact match
6.EE.B.7,"Solve real-world and mathematical problems by writing and solving equations of the form *x + p = q* and *px = q* for cases in which *p, q* and *x* are all nonnegative rational numbers.",Solve one-step multiplication and division equations: word problems,Solve real-world problems by writing and solving one-step multiplication or division equations.,IXL Content - Solve one-step multiplication and division equations: word problems,Exact match
6.EE.B.7,"Solve real-world and mathematical problems by writing and solving equations of the form *x + p = q* and *px = q* for cases in which *p, q* and *x* are all nonnegative rational numbers.",Solve one-step equations: word problems,Solve various real-world problems that can be represented by one-step equations.,IXL Content - Solve one-step equations: word problems,Exact match
6.EE.B.7,"Solve real-world and mathematical problems by writing and solving equations of the form *x + p = q* and *px = q* for cases in which *p, q* and *x* are all nonnegative rational numbers.",Which word problem matches the one-step equation?,Match a given one-step equation to its corresponding word problem.,IXL Content - Which word problem matches the one-step equation?,Exact match
6.EE.B.8,Write an inequality of the form *x > c* or *x < c* to represent a constraint or condition in a real-world or mathematical problem. Recognize that inequalities of the form *x > c* or *x < c* have infinitely many solutions; represent solutions of such inequalities on number line diagrams.,Solutions to inequalities,Determine if a given value satisfies an inequality by substitution.,IXL Content - Solutions to inequalities,Exact match
6.EE.B.8,Write an inequality of the form *x > c* or *x < c* to represent a constraint or condition in a real-world or mathematical problem. Recognize that inequalities of the form *x > c* or *x < c* have infinitely many solutions; represent solutions of such inequalities on number line diagrams.,Testing solutions to inequalities (basic),Substitute a given value into an inequality to check if it makes the inequality true.,Khan Academy Content - Testing solutions to inequalities (basic),Exact match
6.EE.B.8,Write an inequality of the form *x > c* or *x < c* to represent a constraint or condition in a real-world or mathematical problem. Recognize that inequalities of the form *x > c* or *x < c* have infinitely many solutions; represent solutions of such inequalities on number line diagrams.,Graph inequalities on number lines,Represent the solution set of an inequality of the form $x > c$ or $x < c$ on a number line.,IXL Content - Graph inequalities on number lines,Exact match
6.EE.B.8,Write an inequality of the form *x > c* or *x < c* to represent a constraint or condition in a real-world or mathematical problem. Recognize that inequalities of the form *x > c* or *x < c* have infinitely many solutions; represent solutions of such inequalities on number line diagrams.,Graphing basic inequalities,Plot the solution set of simple inequalities on a number line.,Khan Academy Content - Graphing basic inequalities,Exact match
6.EE.B.8,Write an inequality of the form *x > c* or *x < c* to represent a constraint or condition in a real-world or mathematical problem. Recognize that inequalities of the form *x > c* or *x < c* have infinitely many solutions; represent solutions of such inequalities on number line diagrams.,Plotting inequalities,Graph the solution set of an inequality on a number line.,Khan Academy Content - Plotting inequalities,Exact match
6.EE.B.8,Write an inequality of the form *x > c* or *x < c* to represent a constraint or condition in a real-world or mathematical problem. Recognize that inequalities of the form *x > c* or *x < c* have infinitely many solutions; represent solutions of such inequalities on number line diagrams.,Inequality from graph,Write an inequality that represents the solution set shown on a number line graph.,Khan Academy Content - Inequality from graph,Exact match
6.EE.B.8,Write an inequality of the form *x > c* or *x < c* to represent a constraint or condition in a real-world or mathematical problem. Recognize that inequalities of the form *x > c* or *x < c* have infinitely many solutions; represent solutions of such inequalities on number line diagrams.,Write inequalities from number lines,Formulate an inequality given its graphical representation on a number line.,IXL Content - Write inequalities from number lines,Exact match
6.EE.B.8,Write an inequality of the form *x > c* or *x < c* to represent a constraint or condition in a real-world or mathematical problem. Recognize that inequalities of the form *x > c* or *x < c* have infinitely many solutions; represent solutions of such inequalities on number line diagrams.,Inequalities word problems,Translate real-world scenarios into inequalities of the form $x > c$ or $x < c$.,Khan Academy Content - Inequalities word problems,Exact match
6.EE.B.8,Write an inequality of the form *x > c* or *x < c* to represent a constraint or condition in a real-world or mathematical problem. Recognize that inequalities of the form *x > c* or *x < c* have infinitely many solutions; represent solutions of such inequalities on number line diagrams.,Write and graph inequalities: word problems,Write inequalities from word problems and graph their solutions on a number line.,IXL Content - Write and graph inequalities: word problems,Exact match
