Standard ID,Standard Description,Skill Name,Skill Description,Source,Relationship
8.G.A.1.a,"Lines are taken to lines, and line segments to line segments of the same length.",Identify properties preserved under rigid transformations (length),"Identify that line segments maintain the same length after a rigid transformation (reflection, rotation, translation).","Khan Academy Content - Rigid transformations: preserved properties, EngageNY Lesson 7: No Bending or Stretching","Exact match (Khan Academy), Subset (EngageNY)"
8.G.A.1.a,"Lines are taken to lines, and line segments to line segments of the same length.",Solve problems involving lengths after rigid transformations,"Use knowledge about the effects of rigid transformations to solve problems about figures and their images, specifically focusing on lengths.","Khan Academy Content - Find measures using rigid transformations, EngageNY Lesson 10: Composing Figures","Exact match (Khan Academy), Subset (EngageNY)"
8.G.A.1.b,Angles are taken to angles of the same measure.,Identify properties preserved under rigid transformations (angle measure),"Identify that angles maintain the same measure after a rigid transformation (reflection, rotation, translation).","Khan Academy Content - Rigid transformations: preserved properties, EngageNY Lesson 7: No Bending or Stretching","Exact match (Khan Academy), Subset (EngageNY)"
8.G.A.1.b,Angles are taken to angles of the same measure.,Solve problems involving angle measures after rigid transformations,"Use knowledge about the effects of rigid transformations to solve problems about figures and their images, specifically focusing on angle measures.","Khan Academy Content - Find measures using rigid transformations, EngageNY Lesson 10: Composing Figures","Exact match (Khan Academy), Subset (EngageNY)"
8.G.A.1.c,Parallel lines are taken to parallel lines.,Identify properties preserved under rigid transformations (parallelism),"Identify that parallel lines remain parallel after a rigid transformation (reflection, rotation, translation).","Khan Academy Content - Rigid transformations: preserved properties, EngageNY Lesson 9: Moves in Parallel","Exact match (Khan Academy), Subset (EngageNY)"
8.G.A.1.c,Parallel lines are taken to parallel lines.,Solve problems involving parallelism after rigid transformations,"Use knowledge about the effects of rigid transformations to solve problems about figures and their images, specifically focusing on parallelism.",Khan Academy Content - Find measures using rigid transformations,Exact match
8.G.A.2,"Understand that a two-dimensional figure is congruent to another if the second can be obtained from the first by a sequence of rotations, reflections, and translations; given two congruent figures, describe a sequence that exhibits the congruence between them.",Understand congruence through rigid transformations,"Understand that two-dimensional figures are congruent if one can be obtained from the other by a sequence of rotations, reflections, and translations.","Khan Academy Content - Congruence & transformations, EngageNY Lesson 11: What Is the Same?",Exact match
8.G.A.2,"Understand that a two-dimensional figure is congruent to another if the second can be obtained from the first by a sequence of rotations, reflections, and translations; given two congruent figures, describe a sequence that exhibits the congruence between them.",Describe sequences of rigid transformations to show congruence,"Given two congruent figures, describe a sequence of rigid transformations (translations, rotations, and/or reflections) that will map one shape onto the other.","Khan Academy Content - Mapping shapes, IXL Content - Sequences of congruence transformations: choose the sequence, EngageNY Lesson 12: Congruent Polygons","Exact match (Khan Academy), Superset (IXL), Exact match (EngageNY)"
8.G.A.2,"Understand that a two-dimensional figure is congruent to another if the second can be obtained from the first by a sequence of rotations, reflections, and translations; given two congruent figures, describe a sequence that exhibits the congruence between them.",Identify congruent figures,Determine whether two shapes are congruent using visual inspection and understanding of rigid transformations.,"IXL Content - Identify congruent figures, EngageNY Lesson 12: Congruent Polygons",Exact match
8.G.A.2,"Understand that a two-dimensional figure is congruent to another if the second can be obtained from the first by a sequence of rotations, reflections, and translations; given two congruent figures, describe a sequence that exhibits the congruence between them.",Justify congruence of figures,Determine if two figures are congruent and justify the answer based on rigid transformations.,IXL Content - Determine if two figures are congruent: justify your answer,Exact match
8.G.A.2,"Understand that a two-dimensional figure is congruent to another if the second can be obtained from the first by a sequence of rotations, reflections, and translations; given two congruent figures, describe a sequence that exhibits the congruence between them.",Identify corresponding parts of congruent figures,"Given two congruent figures, identify corresponding sides and angles.",IXL Content - Congruence statements and corresponding parts,Exact match
8.G.A.2,"Understand that a two-dimensional figure is congruent to another if the second can be obtained from the first by a sequence of rotations, reflections, and translations; given two congruent figures, describe a sequence that exhibits the congruence between them.",Find side lengths and angle measures of congruent figures,Use the properties of congruent figures to find missing side lengths and angle measures.,IXL Content - Side lengths and angle measures of congruent figures,Exact match
8.G.A.2,"Understand that a two-dimensional figure is congruent to another if the second can be obtained from the first by a sequence of rotations, reflections, and translations; given two congruent figures, describe a sequence that exhibits the congruence between them.",Verify congruence by measuring distances,Determine whether shapes are congruent by measuring the distances between corresponding points.,EngageNY Lesson 13: Congruence,Exact match
8.G.A.3,"Describe the effect of dilations, translations, rotations, and reflections on two-dimensional figures using coordinates.",Graph the image of a figure after a translation,"Given a figure and a definition of a translation, manually draw the image on a coordinate plane.","Khan Academy Content - Translate shapes, IXL Content - Translations: graph the image",Exact match
8.G.A.3,"Describe the effect of dilations, translations, rotations, and reflections on two-dimensional figures using coordinates.",Graph the image of a figure after a reflection over an axis,"Given a figure and a definition of a reflection over the x- or y-axis, graph the image on a coordinate plane.","IXL Content - Reflections over the x- and y-axes: graph the image, Khan Academy Content - Reflect shapes","Exact match (IXL), Subset (Khan Academy)"
8.G.A.3,"Describe the effect of dilations, translations, rotations, and reflections on two-dimensional figures using coordinates.",Graph the image of a figure after a reflection,"Given a figure and a definition of a reflection, manually draw the image on a coordinate plane.","Khan Academy Content - Reflect shapes, IXL Content - Reflections: graph the image",Exact match
8.G.A.3,"Describe the effect of dilations, translations, rotations, and reflections on two-dimensional figures using coordinates.",Rotate points (basic),"Given a point and a definition of a rotation, plot the rotation on a coordinate plane or identify the coordinates of the rotated point. Rotations are about the origin and multiples of 90Â°.",Khan Academy Content - Rotate points (basic),Exact match
8.G.A.3,"Describe the effect of dilations, translations, rotations, and reflections on two-dimensional figures using coordinates.",Rotate points,"Given a point and a definition of a rotation, plot the rotation on a coordinate plane or identify the coordinates of the rotated point.","Khan Academy Content - Rotate points, IXL Content - Rotations: find the coordinates","Exact match (Khan Academy - for 'Rotate points'), Exact match (IXL - 'Rotations: find the coordinates')"
8.G.A.3,"Describe the effect of dilations, translations, rotations, and reflections on two-dimensional figures using coordinates.",Determine rotations (basic),"Given a figure on the coordinate plane and a center of a rotation, find the angle for the rotation that maps one figure to the other. Rotations are around the origin and a multiple of 90Â°.",Khan Academy Content - Determine rotations (basic),Exact match
8.G.A.3,"Describe the effect of dilations, translations, rotations, and reflections on two-dimensional figures using coordinates.",Dilate points on a coordinate plane,"Given a point and a definition of a dilation, plot the dilation on a coordinate plane or identify the coordinates of the dilated point.","Khan Academy Content - Dilate points, IXL Content - Dilations: find the coordinates, EngageNY Lesson 4: Dilations on a Square Grid, EngageNY Lesson 5: More Dilations","Exact match (Khan Academy), Exact match (IXL), Superset (EngageNY)"
8.G.A.3,"Describe the effect of dilations, translations, rotations, and reflections on two-dimensional figures using coordinates.",Graph the image of a figure after a dilation,"Given a figure and a definition of a dilation, select or manually draw the image on a coordinate plane.","Khan Academy Content - Dilate triangles, IXL Content - Dilations: graph the image",Exact match
8.G.A.3,"Describe the effect of dilations, translations, rotations, and reflections on two-dimensional figures using coordinates.",Describe transformations using coordinates,"Describe the effect of translations, rotations, reflections, and dilations on two-dimensional figures using coordinates.",IXL Content - Describe transformations,Exact match
8.G.A.3,"Describe the effect of dilations, translations, rotations, and reflections on two-dimensional figures using coordinates.",Determine the center and scale factor of a dilation,Find both the center and the scale factor of a dilation that maps a given figure to another one.,"Khan Academy Content - Dilations: scale factor, IXL Content - Dilations: find the scale factor",Exact match
8.G.A.3,"Describe the effect of dilations, translations, rotations, and reflections on two-dimensional figures using coordinates.",Analyze properties preserved and changed under dilations,"Given a shape and the dilation that is performed on it, determine which properties the shape and its image share.",Khan Academy Content - Dilations and properties,Exact match
8.G.A.4,"Understand that a two-dimensional figure is similar to another if the second can be obtained from the first by a sequence of rotations, reflections, translations, and dilations; given two similar two-dimensional figures, describe a sequence that exhibits the similarity between them.",Understand similarity through transformations,"Understand that two-dimensional figures are similar if one can be obtained from the other by a sequence of rotations, reflections, translations, and dilations.","Khan Academy Content - Similarity & transformations, IXL Content - Similar and congruent figures, EngageNY Lesson 6: Similarity","Exact match (Khan Academy), Superset (IXL), Exact match (EngageNY)"
8.G.A.4,"Understand that a two-dimensional figure is similar to another if the second can be obtained from the first by a sequence of rotations, reflections, translations, and dilations; given two similar two-dimensional figures, describe a sequence that exhibits the similarity between them.",Describe sequences of transformations to show similarity,"Given two similar two-dimensional figures, describe a sequence of rotations, reflections, translations, and dilations that exhibits the similarity between them.","Khan Academy Content - Similarity & transformations, EngageNY Lesson 6: Similarity",Exact match
8.G.A.4,"Understand that a two-dimensional figure is similar to another if the second can be obtained from the first by a sequence of rotations, reflections, translations, and dilations; given two similar two-dimensional figures, describe a sequence that exhibits the similarity between them.",Identify similar triangles,Determine if two triangles are similar.,IXL Content - Identify similar triangles,Exact match
8.G.A.4,"Understand that a two-dimensional figure is similar to another if the second can be obtained from the first by a sequence of rotations, reflections, translations, and dilations; given two similar two-dimensional figures, describe a sequence that exhibits the similarity between them.",Justify similarity of figures,Determine if two figures are similar and justify the answer based on transformations.,IXL Content - Determine if two figures are similar: justify your answer,Exact match
8.G.A.4,"Understand that a two-dimensional figure is similar to another if the second can be obtained from the first by a sequence of rotations, reflections, translations, and dilations; given two similar two-dimensional figures, describe a sequence that exhibits the similarity between them.",Identify corresponding angles and proportional side lengths in similar polygons,Understand that similar polygons have congruent corresponding angles and proportional side lengths.,EngageNY Lesson 7: Similar Polygons,Exact match
8.G.A.4,"Understand that a two-dimensional figure is similar to another if the second can be obtained from the first by a sequence of rotations, reflections, translations, and dilations; given two similar two-dimensional figures, describe a sequence that exhibits the similarity between them.",Find side lengths and angle measures of similar triangles,Use the properties of similar triangles to find missing side lengths and angle measures.,IXL Content - Side lengths and angle measures of similar triangles,Exact match
8.G.A.4,"Understand that a two-dimensional figure is similar to another if the second can be obtained from the first by a sequence of rotations, reflections, translations, and dilations; given two similar two-dimensional figures, describe a sequence that exhibits the similarity between them.",Find side lengths and angle measures of similar figures,Use the properties of similar figures to find missing side lengths and angle measures.,IXL Content - Side lengths and angle measures of similar figures,Exact match
8.G.A.5,"Use informal arguments to establish facts about the angle sum and exterior angle of triangles, about the angles created when parallel lines are cut by a transversal, and the angle-angle criterion for similarity of triangles.",Identify angle relationships with parallel lines and transversals,"Identify alternate interior, alternate exterior, corresponding, and consecutive interior angles formed by parallel lines cut by a transversal.","IXL Content - Identify alternate interior and alternate exterior angles, IXL Content - Transversals of parallel lines: name angle pairs","Exact match (IXL - first skill), Superset (IXL - second skill)"
8.G.A.5,"Use informal arguments to establish facts about the angle sum and exterior angle of triangles, about the angles created when parallel lines are cut by a transversal, and the angle-angle criterion for similarity of triangles.",Find missing angles with parallel lines and transversals,Find missing angle measures given two parallel lines and a transversal.,"Khan Academy Content - Angle relationships with parallel lines, IXL Content - Transversals of parallel lines: find angle measures",Exact match
8.G.A.5,"Use informal arguments to establish facts about the angle sum and exterior angle of triangles, about the angles created when parallel lines are cut by a transversal, and the angle-angle criterion for similarity of triangles.",Solve equations involving angles formed by parallel lines and transversals,"Solve for angle measures on angles formed by parallel lines and a transversal, where the angle measures are given as linear expressions.","Khan Academy Content - Equation practice with angles, IXL Content - Transversals of parallel lines: solve for x",Exact match
8.G.A.5,"Use informal arguments to establish facts about the angle sum and exterior angle of triangles, about the angles created when parallel lines are cut by a transversal, and the angle-angle criterion for similarity of triangles.",Calculate angle measures using alternate interior angles,Calculate angle measures using alternate interior angles when parallel lines are cut by a transversal.,EngageNY Lesson 14: Alternate Interior Angles,Subset
8.G.A.5,"Use informal arguments to establish facts about the angle sum and exterior angle of triangles, about the angles created when parallel lines are cut by a transversal, and the angle-angle criterion for similarity of triangles.",Calculate angle measures using vertical and supplementary angles,Calculate angle measures using vertical and supplementary angles.,"EngageNY Lesson 14: Alternate Interior Angles, IXL Content - Identify complementary, supplementary, vertical, adjacent, and congruent angles, IXL Content - Find measures of complementary, supplementary, vertical, and adjacent angles","Subset (EngageNY), Superset (IXL)"
8.G.A.5,"Use informal arguments to establish facts about the angle sum and exterior angle of triangles, about the angles created when parallel lines are cut by a transversal, and the angle-angle criterion for similarity of triangles.","Solve equations using angle relationships (complementary, supplementary, vertical, adjacent)","Given the sum of a pair of angle measures and the algebraic expressions that represent them, form and solve an equation for complementary, supplementary, vertical, and other adjacent angles.","Khan Academy Content - Equation practice with angle addition, IXL Content - Write and solve equations using angle relationships",Exact match
8.G.A.5,"Use informal arguments to establish facts about the angle sum and exterior angle of triangles, about the angles created when parallel lines are cut by a transversal, and the angle-angle criterion for similarity of triangles.",Prove the angle sum theorem of triangles,Use the measure of a straight angle and properties of parallel lines to prove the sum of angles in a triangle is 180 degrees.,"EngageNY Lesson 15: Adding the Angles in a Triangle, EngageNY Lesson 16: Parallel Lines and the Angles in a Triangle, IXL Content - Triangle Angle-Sum Theorem","Exact match (EngageNY), Subset (IXL)"
8.G.A.5,"Use informal arguments to establish facts about the angle sum and exterior angle of triangles, about the angles created when parallel lines are cut by a transversal, and the angle-angle criterion for similarity of triangles.",Find missing angles in triangles using the angle sum theorem,Find missing angle measures in triangles using the property that the sum of angles in a triangle is 180 degrees.,"Khan Academy Content - Find angles in triangles, IXL Content - Find missing angles in triangles",Exact match
8.G.A.5,"Use informal arguments to establish facts about the angle sum and exterior angle of triangles, about the angles created when parallel lines are cut by a transversal, and the angle-angle criterion for similarity of triangles.",Find missing angles in isosceles triangles,Find missing angles in isosceles triangles given just one angle.,Khan Academy Content - Find angles in isosceles triangles,Exact match
8.G.A.5,"Use informal arguments to establish facts about the angle sum and exterior angle of triangles, about the angles created when parallel lines are cut by a transversal, and the angle-angle criterion for similarity of triangles.",Apply the Exterior Angle Theorem,Apply the Exterior Angle Theorem to find missing angle measures in triangles.,IXL Content - Exterior Angle Theorem,Exact match
8.G.A.5,"Use informal arguments to establish facts about the angle sum and exterior angle of triangles, about the angles created when parallel lines are cut by a transversal, and the angle-angle criterion for similarity of triangles.",Understand the angle-angle criterion for similar triangles,Understand that two triangles are similar if two pairs of corresponding angles are congruent (AA similarity criterion).,"IXL Content - Angle-angle criterion for similar triangles, EngageNY Lesson 8: Similar Triangles",Exact match
8.G.A.5,"Use informal arguments to establish facts about the angle sum and exterior angle of triangles, about the angles created when parallel lines are cut by a transversal, and the angle-angle criterion for similarity of triangles.",Determine similarity of triangles using AA criterion,Determine that two triangles are similar by finding a sequence of transformations that takes one triangle to the other or by checking that two pairs of corresponding angles are congruent.,EngageNY Lesson 8: Similar Triangles,Exact match
8.G.A.5,"Use informal arguments to establish facts about the angle sum and exterior angle of triangles, about the angles created when parallel lines are cut by a transversal, and the angle-angle criterion for similarity of triangles.",Calculate unknown side lengths in similar triangles using scale factor,Calculate unknown side lengths in similar triangles using the scale factor between similar triangles and understand that the quotients of pairs of side lengths in similar triangles are equal.,"EngageNY Lesson 9: Side Length Quotients in Similar Triangles, IXL Content - Find missing side lengths in proportional triangles","Exact match (EngageNY), Subset (IXL)"
8.G.A.5,"Use informal arguments to establish facts about the angle sum and exterior angle of triangles, about the angles created when parallel lines are cut by a transversal, and the angle-angle criterion for similarity of triangles.",Solve real-world problems using similar triangles (indirect measurement),Use the properties of similar triangles in a real-world context to find the height of an unknown object.,"IXL Content - Similar triangles and indirect measurement, EngageNY Lesson 13: The Shadow Knows",Exact match
8.G.B.7,Apply the Pythagorean Theorem to determine unknown side lengths in right triangles in real-world and mathematical problems in two and three dimensions.,Understand the Pythagorean Theorem visually,Visualize the Pythagorean theorem and its converse using the area of squares.,"Khan Academy Content - Use area of squares to visualize Pythagorean theorem, EngageNY Lesson 6: Finding Side Lengths of Triangles","Exact match (Khan Academy), Subset (EngageNY)"
8.G.B.7,Apply the Pythagorean Theorem to determine unknown side lengths in right triangles in real-world and mathematical problems in two and three dimensions.,Prove the Pythagorean Theorem,Explain and apply a proof of the Pythagorean Theorem.,EngageNY Lesson 7: A Proof of the Pythagorean Theorem,Exact match
8.G.B.7,Apply the Pythagorean Theorem to determine unknown side lengths in right triangles in real-world and mathematical problems in two and three dimensions.,Find the length of the hypotenuse using the Pythagorean Theorem,Find the length of the hypotenuse of a right triangle using the Pythagorean theorem.,"Khan Academy Content - Use Pythagorean theorem to find right triangle side lengths, IXL Content - Pythagorean theorem: find the length of the hypotenuse, EngageNY Lesson 8: Finding Unknown Side Lengths","Exact match (Khan Academy), Exact match (IXL), Subset (EngageNY)"
8.G.B.7,Apply the Pythagorean Theorem to determine unknown side lengths in right triangles in real-world and mathematical problems in two and three dimensions.,Find the missing leg length using the Pythagorean Theorem,Find the length of a leg of a right triangle using the Pythagorean theorem.,"Khan Academy Content - Use Pythagorean theorem to find right triangle side lengths, IXL Content - Pythagorean theorem: find the missing leg length, EngageNY Lesson 8: Finding Unknown Side Lengths","Exact match (Khan Academy), Exact match (IXL), Subset (EngageNY)"
8.G.B.7,Apply the Pythagorean Theorem to determine unknown side lengths in right triangles in real-world and mathematical problems in two and three dimensions.,Find missing side lengths in right triangles using the Pythagorean Theorem,Find the length of the hypotenuse or a leg of a right triangle using the Pythagorean theorem.,IXL Content - Pythagorean theorem: find the missing leg or hypotenuse length,Exact match
8.G.B.7,Apply the Pythagorean Theorem to determine unknown side lengths in right triangles in real-world and mathematical problems in two and three dimensions.,Determine if a triangle is a right triangle using the converse of the Pythagorean Theorem,Determine if a triangle with given side lengths is a right triangle using the converse of the Pythagorean Theorem.,"Khan Academy Content - Right triangle side lengths, IXL Content - Converse of the Pythagorean theorem: is it a right triangle?, EngageNY Lesson 9: The Converse",Exact match
8.G.B.7,Apply the Pythagorean Theorem to determine unknown side lengths in right triangles in real-world and mathematical problems in two and three dimensions.,Solve word problems using the Pythagorean Theorem,Use the Pythagorean theorem to solve word problems in two dimensions.,"Khan Academy Content - Pythagorean theorem word problems, IXL Content - Pythagorean theorem: word problems, EngageNY Lesson 10: Applications of the Pythagorean Theorem",Exact match
8.G.B.7,Apply the Pythagorean Theorem to determine unknown side lengths in right triangles in real-world and mathematical problems in two and three dimensions.,Find perimeter using the Pythagorean Theorem,Find the perimeter of triangles and quadrilaterals by first using the Pythagorean Theorem to find missing side lengths.,"Khan Academy Content - Use Pythagorean theorem to find perimeter, IXL Content - Pythagorean theorem: find the perimeter",Exact match
8.G.B.7,Apply the Pythagorean Theorem to determine unknown side lengths in right triangles in real-world and mathematical problems in two and three dimensions.,Find area using the Pythagorean Theorem,Find the area of triangles and quadrilaterals by first using the Pythagorean Theorem to find missing side lengths.,Khan Academy Content - Use Pythagorean theorem to find area,Exact match
8.G.B.7,Apply the Pythagorean Theorem to determine unknown side lengths in right triangles in real-world and mathematical problems in two and three dimensions.,Find missing side lengths in isosceles triangles using the Pythagorean Theorem,Find a missing side length on an acute isosceles triangle by using the Pythagorean theorem.,Khan Academy Content - Use Pythagorean theorem to find isosceles triangle side lengths,Exact match
8.G.B.7,Apply the Pythagorean Theorem to determine unknown side lengths in right triangles in real-world and mathematical problems in two and three dimensions.,Apply the Pythagorean Theorem in 3D problems,Apply the Pythagorean theorem to find lengths in prisms and pyramids (three dimensions).,Khan Academy Content - Pythagorean theorem in 3D,Exact match
8.G.B.8,Apply the Pythagorean Theorem to find the distance between two points in a coordinate system.,Find the distance between two points on the coordinate plane,Use the Pythagorean theorem to find the distance between two points on the coordinate plane.,"Khan Academy Content - Distance between two points, IXL Content - Find the distance between two points, EngageNY Lesson 11: Finding Distances in the Coordinate Plane",Exact match
8.G.C.9,"Know the formulas for the volumes of cones, cylinders, and spheres and use them to solve real-world and mathematical problems.",Know the formula for the volume of a cylinder,Recall and understand the formula for the volume of a cylinder ($V = \pi r^2 h$).,EngageNY Lesson 13: The Volume of a Cylinder,Subset
8.G.C.9,"Know the formulas for the volumes of cones, cylinders, and spheres and use them to solve real-world and mathematical problems.",Calculate the volume of a cylinder,Practice applying the volume formula for cylinders to find their volumes.,"Khan Academy Content - Volume of cylinders, IXL Content - Volume of cylinders, EngageNY Lesson 13: The Volume of a Cylinder","Exact match (Khan Academy, IXL), Superset (EngageNY)"
8.G.C.9,"Know the formulas for the volumes of cones, cylinders, and spheres and use them to solve real-world and mathematical problems.",Calculate unknown dimensions of a cylinder given its volume,"Calculate the value of one dimension (radius or height) of a cylinder, given its volume and other dimension.",EngageNY Lesson 14: Finding Cylinder Dimensions,Exact match
8.G.C.9,"Know the formulas for the volumes of cones, cylinders, and spheres and use them to solve real-world and mathematical problems.",Know the formula for the volume of a cone,Recall and understand the formula for the volume of a cone ($V = \frac{1}{3}\pi r^2 h$).,EngageNY Lesson 15: The Volume of a Cone,Subset
8.G.C.9,"Know the formulas for the volumes of cones, cylinders, and spheres and use them to solve real-world and mathematical problems.",Calculate the volume of a cone,Practice applying the volume formula for cones to find their volumes.,"Khan Academy Content - Volume of cones, IXL Content - Volume of cones, EngageNY Lesson 15: The Volume of a Cone","Exact match (Khan Academy, IXL), Superset (EngageNY)"
8.G.C.9,"Know the formulas for the volumes of cones, cylinders, and spheres and use them to solve real-world and mathematical problems.",Calculate unknown dimensions of a cone given its volume,"Calculate the value of one dimension (radius or height) of a cone, given its volume and other dimension.",EngageNY Lesson 16: Finding Cone Dimensions,Exact match
8.G.C.9,"Know the formulas for the volumes of cones, cylinders, and spheres and use them to solve real-world and mathematical problems.",Know the formula for the volume of a sphere,Recall and understand the formula for the volume of a sphere ($V = \frac{4}{3}\pi r^3$).,EngageNY Lesson 20: The Volume of a Sphere,Subset
8.G.C.9,"Know the formulas for the volumes of cones, cylinders, and spheres and use them to solve real-world and mathematical problems.",Calculate the volume of a sphere,Practice applying the volume formula for spheres to find their volumes.,"Khan Academy Content - Volume of spheres, IXL Content - Volume of spheres, EngageNY Lesson 20: The Volume of a Sphere","Exact match (Khan Academy, IXL), Superset (EngageNY)"
8.G.C.9,"Know the formulas for the volumes of cones, cylinders, and spheres and use them to solve real-world and mathematical problems.",Estimate the volume of a hemisphere,Estimate the volume of a hemisphere.,EngageNY Lesson 19: Estimating a Hemisphere,Exact match
8.G.C.9,"Know the formulas for the volumes of cones, cylinders, and spheres and use them to solve real-world and mathematical problems.","Compare volumes of cylinders, cones, and spheres","Explain the relationship between the volumes of a sphere, cone, and cylinder with the same radius and height.","EngageNY Lesson 15: The Volume of a Cone, EngageNY Lesson 20: The Volume of a Sphere","Subset (EngageNY Lesson 15), Subset (EngageNY Lesson 20)"
8.G.C.9,"Know the formulas for the volumes of cones, cylinders, and spheres and use them to solve real-world and mathematical problems.","Solve word problems involving volumes of cylinders, spheres, and cones","Solve real-world problems involving volume of cylinders, spheres, and cones.","Khan Academy Content - Volume of cylinders, spheres, and cones word problems",Exact match
8.G.C.9,"Know the formulas for the volumes of cones, cylinders, and spheres and use them to solve real-world and mathematical problems.",Find volume and surface area of cylinders,Find volumes and surface areas of cylinders.,"Khan Academy Content - Volume and surface area of cylinders, IXL Content - Volume of cylinders, IXL Content - Surface area of cylinders","Exact match (Khan Academy - for Volume and Surface Area), Superset (IXL - for individual volume/surface area skills)"
8.G.C.9,"Know the formulas for the volumes of cones, cylinders, and spheres and use them to solve real-world and mathematical problems.",Find volumes of various 3D figures,"Find the volumes of cylinders, cones, spheres, and rectangular prisms.","EngageNY Lesson 21: Cylinders, Cones, and Spheres",Exact match
8.G.C.9,"Know the formulas for the volumes of cones, cylinders, and spheres and use them to solve real-world and mathematical problems.",Interpret and compare volume functions,"Interpret and compare functions that represent the volume of a sphere, cone, and cylinder using different representations.",EngageNY Lesson 22: Volume As a Function of...,Exact match
8.G.C.9,"Know the formulas for the volumes of cones, cylinders, and spheres and use them to solve real-world and mathematical problems.",Analyze effects of scaling dimensions on volume,Determine how scaling one or two dimensions of a figure affects its volume.,"EngageNY Lesson 17: Scaling One Dimension, EngageNY Lesson 18: Scaling Two Dimensions",Exact match
8.NS.A.1,"Know that numbers that are not rational are called irrational. Understand informally that every number has a decimal expansion; for rational numbers show that the decimal expansion repeats eventually, and convert a decimal expansion which repeats eventually into a rational number.",Classify numbers as rational or irrational,"Identify and classify numbers as rational or irrational, including single operation expressions.","Khan Academy Content - Classify numbers, Khan Academy Content - Classify numbers: rational & irrational, IXL Content - Identify rational and irrational numbers, IXL Content - Classify numbers, EngageNY Lesson 3: Rational and Irrational Numbers",Exact match
8.NS.A.1,"Know that numbers that are not rational are called irrational. Understand informally that every number has a decimal expansion; for rational numbers show that the decimal expansion repeats eventually, and convert a decimal expansion which repeats eventually into a rational number.",Understand decimal expansions of rational numbers,Understand that every number has a decimal expansion and that rational numbers have decimal expansions that repeat eventually.,EngageNY Lesson 14: Decimal Representations of Rational Numbers,Exact match
